update_date,target_month,months_ahead,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
2021-08-13,2021-08,0,0.411849261876315,0.346538920879067,0.32081612701039,0.286234288404237
2021-08-16,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-16,2021-08,0,0.411849261876315,0.346538920879067,0.32081612701039,0.286234288404237
2021-08-17,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-17,2021-08,0,0.414846112776762,0.346538920879067,0.322545473183755,0.286234288404237
2021-08-18,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-18,2021-08,0,0.414846112776762,0.346538920879067,0.322545473183755,0.286234288404237
2021-08-19,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-19,2021-08,0,0.414846112776762,0.346538920879067,0.322545473183755,0.286234288404237
2021-08-20,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-20,2021-08,0,0.414846112776762,0.346538920879067,0.322545473183755,0.286234288404237
2021-08-23,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-23,2021-08,0,0.414846112776762,0.346538920879067,0.322545473183755,0.286234288404237
2021-08-24,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-24,2021-08,0,0.409483326954909,0.346538920879067,0.319450853715628,0.286234288404237
2021-08-25,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-25,2021-08,0,0.409483326954909,0.346538920879067,0.319450853715628,0.286234288404237
2021-08-26,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-26,2021-08,0,0.409483326954909,0.346538920879067,0.319450853715628,0.286234288404237
2021-08-27,2021-08,0,0.409483326954909,0.346538920879067,0.327616568282535,0.29677772067068
2021-08-30,2021-08,0,0.409483326954909,0.346538920879067,0.327616568282535,0.29677772067068
2021-08-31,2021-08,0,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-01,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-01,2021-09,0,0.299032200509765,0.346406972121146,0.263689187019688,0.295029720821338
2021-09-02,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-02,2021-09,0,0.297998252661613,0.346406972121146,0.263098845760308,0.295029720821338
2021-09-03,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-03,2021-09,0,0.313404075599078,0.346406972121146,0.271894930525076,0.295029720821338
2021-09-07,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-07,2021-09,0,0.314489720839638,0.346406972121146,0.272514788847426,0.295029720821338
2021-09-08,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-08,2021-09,0,0.374980454174526,0.346406972121146,0.307052484110864,0.295029720821338
2021-09-09,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-09,2021-09,0,0.374980454174526,0.346406972121146,0.307052484110864,0.295029720821338
2021-09-10,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-10,2021-09,0,0.374980454174526,0.346406972121146,0.307052484110864,0.295029720821338
2021-09-13,2021-08,-1,0.405130006699523,0.346538920879067,0.325131003302982,0.29677772067068
2021-09-13,2021-09,0,0.374980454174526,0.346406972121146,0.307052484110864,0.295029720821338
2021-09-14,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-14,2021-09,0,0.358033659353476,0.326009763448578,0.294279993199277,0.279881618523406
2021-09-15,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-15,2021-09,0,0.358033659353476,0.326009763448578,0.294279993199277,0.279881618523406
2021-09-16,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-16,2021-09,0,0.358033659353476,0.326009763448578,0.294279993199277,0.279881618523406
2021-09-17,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-17,2021-09,0,0.358033659353476,0.326009763448578,0.294279993199277,0.279881618523406
2021-09-20,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-20,2021-09,0,0.358033659353476,0.326009763448578,0.294279993199277,0.279881618523406
2021-09-21,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-21,2021-09,0,0.361939446061257,0.326009763448578,0.296536479913757,0.279881618523406
2021-09-22,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-22,2021-09,0,0.361939446061257,0.326009763448578,0.296536479913757,0.279881618523406
2021-09-23,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-23,2021-09,0,0.361939446061257,0.326009763448578,0.296536479913757,0.279881618523406
2021-09-24,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-24,2021-09,0,0.361939446061257,0.326009763448578,0.296536479913757,0.279881618523406
2021-09-27,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-27,2021-09,0,0.361939446061257,0.326009763448578,0.296536479913757,0.279881618523406
2021-09-28,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-28,2021-09,0,0.361783214592945,0.326009763448578,0.296446220445178,0.279881618523406
2021-09-29,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-29,2021-09,0,0.361783214592945,0.326009763448578,0.296446220445178,0.279881618523406
2021-09-30,2021-08,-1,,,0.225038535616875,0.115000493095501
2021-09-30,2021-09,0,0.361783214592945,0.326009763448578,0.296446220445178,0.279881618523406
